#{"t_start": 1776786092.6817632, "env_id": "None"}
r,l,t
-75.09677,135,8.593777
-123.911026,180,8.775489
-356.78485,205,8.825796
-107.25921,151,8.895725
-248.63976,320,9.022963
-333.68182,187,9.089682
-362.8311,306,9.13403
-11.221733,136,9.181248
-259.34967,216,9.21587
-370.62482,235,9.255527
-296.35492,176,9.312272
-32.035507,155,9.512545
-112.77276,224,9.616041
-198.10799,299,9.724236
-415.24942,226,9.799262
-190.6485,215,9.802641
-38.29965,177,9.821304
-27.914093,267,9.82414
-144.55325,210,9.834156
-131.69786,126,9.877167
-149.33636,157,10.015544
-43.396008,100,10.032694
-17.553368,114,10.04782
-72.23091,127,10.105307
-128.98503,165,10.116132
-106.588005,151,10.133142
6.52684,184,10.221174
-148.2923,196,10.321904
-40.014153,132,10.323964
-51.84124,125,10.336962
-50.406937,116,10.374162
-10.352745,159,10.397188
-113.965645,129,10.425378
-61.37982,173,10.499648
10.576523,119,10.581204
0.6717758,137,10.623635
-138.15361,141,10.647215
26.305199,144,10.693519
-184.5991,191,10.845426
-39.182457,271,10.866343
-64.00282,167,11.016498
-189.07129,219,11.068447
5.938141,179,11.110119
8.62941,107,11.167686
-23.529465,308,11.223682
29.160263,218,11.245706
-54.96389,141,11.245739
-108.95084,247,11.363899
-132.66331,153,11.497827
-107.0139,200,11.53902
13.396187,136,11.582397
8.764236,252,11.867629
-242.54247,192,11.927751
36.25183,175,12.083475
-117.261604,288,12.083522
-92.144035,315,12.216501
-84.278824,224,12.323471
-33.289413,233,12.4182
-172.45569,169,12.507619
-54.54685,534,12.820104
-176.04648,239,13.302661
-110.44739,332,13.448508
-52.288177,250,13.482408
-49.70326,406,13.608338
-69.27813,274,13.684509
13.844482,232,13.802731
-18.007965,135,13.853426
-28.520187,110,13.862995
-306.2204,416,13.89557
-4.586975,141,14.068727
15.851036,235,14.295375
-8.359467,151,14.399142
-70.31238,245,14.52148
-229.93326,236,14.628197
-37.47778,263,14.79587
-224.85976,745,14.983465
-215.79971,343,15.416301
-11.072899,263,15.487368
-69.09,320,15.62395
-63.179726,253,15.909205
-21.029282,135,16.141674
-74.071625,364,16.262171
-204.55658,391,16.262216
1.3687592,235,16.710838
-49.069523,440,17.00484
-25.53682,238,17.041955
-5.5265884,273,17.451014
-180.80353,255,17.475845
23.010826,187,17.663787
1.9196854,138,17.736551
-78.85657,382,18.149603
-16.957531,1000,18.338311
67.12517,173,18.380862
-222.47403,358,18.795406
-158.39597,722,18.94048
50.728928,344,19.110289
6.0482025,299,19.160791
-33.134613,262,20.245378
-42.70173,539,21.491043
-6.9895706,480,22.619482
-51.949673,528,22.95118
64.91,195,23.293526
-3.0629356,1000,24.522931
58.878937,1000,25.362581
-142.3785,596,25.577148
