#{"t_start": 1776786956.2816849, "env_id": "None"}
r,l,t
-143.1782,81,11.403962
-149.15274,110,11.414764
-186.57535,110,11.467402
-171.8339,116,11.469381
-114.18068,98,11.471167
-81.488525,102,11.481085
-127.794174,109,11.504157
-308.1521,139,11.540054
-83.71128,58,11.550288
-78.69316,69,11.57447
-94.103096,121,11.589766
-111.92766,116,11.591711
-81.83167,89,11.618768
-98.75592,111,11.641108
-93.03001,63,11.644803
-72.6938,59,11.649855
-131.09377,95,11.656305
-90.13465,80,11.714974
-79.42967,82,11.720709
-89.1521,94,11.724949
-89.95766,67,11.76258
-160.76985,81,11.780795
-194.13521,91,14.651561
-116.005875,108,14.675375
-57.70978,65,14.68402
-264.14548,134,14.694378
-108.62414,75,14.702651
-124.15612,55,14.722276
-117.40573,91,14.727866
-93.14582,64,14.778705
-82.66188,70,14.780516
-92.23318,64,14.789469
-211.61234,93,14.79251
-71.93713,65,14.799119
-125.0977,132,14.826581
-78.047,75,14.840323
-75.06395,68,14.890273
-13.369705,116,14.902916
-129.44127,88,14.913858
-114.69295,75,14.938411
-159.59825,112,14.947422
-105.25678,88,14.968546
-178.0936,121,14.973109
-66.28113,68,15.002073
-122.58209,143,15.011301
-126.88167,91,15.026765
-99.90368,89,15.046535
-36.618923,74,15.050189
-86.72334,70,15.053709
-121.7772,83,15.099164
-89.13902,62,15.111806
-129.29433,77,15.124406
-192.38754,121,15.156123
-110.567986,76,15.166147
-48.886036,109,15.21017
-138.27946,122,15.212075
-273.99203,116,15.228323
-121.65205,78,15.230344
-56.47029,62,15.253967
-124.47445,90,15.262727
-124.657074,126,15.294637
-128.15703,94,15.321636
-98.8589,65,15.337577
-70.29168,64,15.337626
-137.81299,76,15.341548
-146.90054,97,15.374983
-41.66499,80,15.386218
-118.835,82,15.428586
-86.949585,69,15.451477
-107.37294,85,15.47728
-112.18013,131,15.482609
-94.03512,65,15.496448
19.393143,123,15.524295
-149.80003,117,15.529315
-105.89026,67,15.563571
-39.36783,114,15.563621
-118.94275,119,15.620708
-118.809296,91,15.639353
-112.0672,105,15.644048
-74.28809,57,15.652066
-69.06896,110,15.657173
-121.60774,63,15.662713
-92.24614,93,15.672661
-86.3016,98,15.687465
-122.12573,65,15.744894
-243.20941,112,15.807679
-145.27328,99,15.810071
-118.16696,89,15.820896
-113.45786,105,15.832807
-174.96417,112,15.839878
-83.66476,119,15.860986
-72.451294,118,15.880955
-99.07515,60,15.90699
-97.49986,62,15.914077
-286.87796,121,15.953001
-133.00534,88,15.978711
-112.62667,97,15.998141
24.945755,93,16.013451
-75.042305,117,16.013479
-147.69766,81,16.015495
-89.72438,65,16.018894
-227.8307,95,16.053245
-139.89027,80,16.06892
-116.40931,78,16.1318
-137.90501,94,16.139831
-103.64207,87,16.144331
-91.84297,114,16.153375
-147.92696,112,16.186781
-99.2854,85,16.189847
-153.38861,87,16.208172
-50.07282,157,16.25176
-122.4224,76,16.257779
-19.67324,91,19.168801
-90.63722,97,19.187148
-66.54751,110,19.190634
-81.461624,80,19.194366
-56.141075,69,19.201062
-138.62093,111,19.246126
-147.03348,101,19.293857
-74.562675,76,19.306715
-104.315834,99,19.360227
-104.70531,103,19.37719
-136.44266,75,19.379678
-87.720604,128,19.390992
-146.09149,156,19.411668
-83.73898,137,19.431881
-157.13116,83,19.45637
-98.48387,101,19.500645
-67.5901,65,19.510043
-72.84392,72,19.512054
-58.63112,114,19.590991
-60.60193,89,19.622741
-83.07833,73,19.640398
-55.308422,73,19.649582
-57.774944,154,19.654858
-147.74203,130,19.657292
-91.83107,122,19.662855
-167.68613,123,19.739371
-90.79385,72,19.781618
-59.402637,70,19.785776
-59.324142,110,19.796557
-110.50846,98,19.80163
-63.852165,82,19.803383
-134.93524,101,19.818315
-60.42031,73,19.859539
-81.1951,147,19.895761
-99.7504,79,19.921613
-137.92365,104,19.959363
-153.4269,117,19.974834
-47.216988,121,19.978782
-245.54243,119,20.013431
-55.488888,141,20.033724
-78.507324,64,20.035784
-226.30789,105,20.039119
-75.40294,122,20.107824
-106.30963,91,20.141404
-76.0227,67,20.162756
-67.44156,77,20.176513
-82.26698,142,20.223409
-56.927578,65,20.237679
-109.28475,144,20.243682
-223.01219,126,20.272777
-47.82818,71,20.301335
-136.76407,155,20.308054
-141.84436,102,20.340578
-76.27765,57,20.34612
-119.74838,88,20.403142
-90.85601,129,20.415234
-103.37755,87,20.427545
-157.03195,98,20.466936
-70.80518,75,20.46936
-232.12823,140,20.471693
-84.93323,112,20.494055
-104.75644,103,20.507295
-95.975,79,20.52598
-103.9703,83,20.543441
-80.99042,71,20.58255
