#{"t_start": 1777134227.1996357, "env_id": "None"}
r,l,t
-21.0,209,76.480463
-21.0,203,76.675787
-21.0,224,76.733276
-21.0,246,76.996848
-21.0,201,77.05622
-21.0,212,77.67434
-20.0,247,77.781379
-20.0,263,78.104883
-20.0,226,78.168648
-21.0,235,78.280551
-20.0,273,78.290459
-21.0,199,78.316143
-21.0,220,78.50488
-21.0,234,79.224134
-21.0,186,79.398357
-20.0,206,79.471833
-21.0,260,79.509234
-21.0,192,79.586576
-21.0,219,79.746647
-20.0,248,79.933014
-20.0,265,80.262172
-20.0,228,80.734545
-21.0,203,80.74457
-20.0,208,80.851056
-20.0,245,81.130317
-21.0,218,81.184382
-21.0,202,81.267483
-21.0,259,81.303961
-20.0,208,82.11305
-20.0,289,82.169569
-21.0,234,87.978412
-20.0,261,88.053388
-21.0,213,88.123214
-21.0,234,88.314276
-21.0,222,88.355151
-20.0,234,88.404208
-21.0,203,89.035702
-21.0,219,89.198814
-21.0,228,89.48767
-21.0,183,89.556517
-21.0,221,89.587705
-21.0,206,89.758841
-20.0,230,89.841531
-20.0,275,89.883414
-21.0,219,90.483538
-21.0,226,90.686589
-21.0,195,90.842175
-20.0,223,90.962828
-21.0,195,91.04696
-21.0,228,91.343747
-20.0,243,91.483549
-19.0,296,91.547711
-21.0,236,92.042098
-20.0,226,92.186561
-21.0,216,92.390319
-20.0,252,92.704567
-19.0,302,92.837998
-20.0,225,92.965399
-20.0,247,92.977137
-21.0,221,93.011074
-20.0,217,93.622855
-18.0,286,93.940842
-20.0,248,94.034289
-21.0,218,94.153921
-21.0,186,94.20788
-21.0,211,94.367092
-21.0,235,94.404132
-21.0,219,94.463043
-20.0,223,95.09694
-21.0,224,95.516224
-21.0,219,95.606992
-21.0,254,95.630789
-21.0,199,95.693471
-21.0,243,95.827553
-21.0,233,96.006979
-21.0,247,96.050803
-21.0,214,96.529637
-21.0,192,96.961303
-21.0,206,96.999836
-21.0,256,97.312037
-20.0,269,97.312075
-21.0,228,97.34627
-21.0,207,97.42906
-21.0,227,97.520583
-20.0,229,98.053039
-21.0,222,98.473295
-21.0,230,98.496319
-21.0,191,98.689147
-20.0,211,98.744801
-21.0,217,98.763386
-19.0,244,98.941996
-21.0,219,98.979452
-21.0,247,99.68489
-21.0,212,99.877835
-21.0,211,100.083269
-21.0,213,100.151853
-20.0,260,100.222588
-20.0,233,100.478526
-19.0,281,100.615876
-19.0,266,100.732336
-21.0,261,101.407902
-21.0,210,101.537773
-21.0,201,107.138846
-19.0,268,107.246532
-21.0,253,107.357474
-21.0,205,107.434463
-21.0,202,107.665386
-19.0,257,107.922408
-20.0,244,108.628646
-21.0,247,108.778237
-21.0,253,108.936003
-20.0,295,109.111841
-20.0,289,109.287789
-19.0,296,109.41048
-20.0,229,109.45665
-20.0,308,109.731295
-21.0,227,110.304215
-21.0,204,110.481125
-20.0,290,110.584756
-21.0,256,110.661954
-20.0,248,110.950821
-20.0,243,111.083248
-21.0,275,111.25966
-20.0,229,111.849101
-21.0,326,111.919764
-21.0,217,111.952055
-21.0,220,112.07448
-19.0,261,112.422645
-20.0,238,112.565968
-20.0,244,112.737499
-21.0,228,112.806251
-21.0,223,113.359567
-21.0,206,113.464376
-21.0,228,113.495123
-19.0,263,113.706363
-21.0,228,114.104988
-21.0,252,114.12856
-20.0,272,114.634578
-19.0,289,114.685503
-21.0,216,114.943274
-21.0,209,115.107288
-19.0,305,115.411611
-19.0,292,115.432378
-21.0,245,115.749504
-21.0,248,115.79532
-20.0,274,116.464865
-20.0,236,116.519496
-20.0,262,116.857107
-21.0,219,116.894621
-17.0,352,117.042041
-20.0,254,117.11737
-21.0,242,117.412901
-19.0,253,117.453262
-21.0,246,118.183952
-20.0,276,118.380672
-20.0,222,118.420966
-21.0,258,118.790384
-21.0,249,119.013489
-21.0,262,119.034075
-21.0,224,119.152231
-20.0,268,119.473706
-20.0,228,119.923929
-21.0,218,120.034515
-21.0,226,120.067276
-21.0,212,120.278066
-21.0,208,120.411623
-21.0,240,120.748486
-21.0,214,120.900937
-17.0,306,121.073497
-21.0,209,126.934443
-21.0,198,126.997452
-20.0,251,127.32255
-20.0,236,127.588078
-20.0,289,127.808796
-21.0,234,128.0672
-19.0,278,128.211463
-20.0,250,128.600252
-21.0,302,128.694198
-21.0,239,128.91674
-19.0,313,129.083479
-21.0,276,129.425133
-21.0,245,129.444306
-20.0,259,129.92646
-20.0,290,130.000201
-21.0,221,130.168638
-21.0,273,130.723608
-18.0,328,130.781349
-21.0,286,130.980437
-18.0,290,131.360602
-19.0,328,131.596965
-20.0,272,131.79976
-20.0,292,131.869315
-20.0,275,131.992121
-20.0,248,132.426403
-21.0,259,132.695263
-21.0,302,132.734578
-20.0,235,132.927877
-21.0,242,133.211057
-20.0,226,133.307834
-21.0,213,133.409673
-20.0,252,133.554986
-21.0,210,133.830743
-21.0,246,134.333841
-19.0,277,134.571951
-21.0,258,134.643652
-21.0,207,134.796825
-21.0,236,134.796855
-19.0,274,135.140086
-21.0,241,135.164495
-21.0,217,135.785038
-19.0,295,135.79552
-20.0,261,136.379514
-21.0,263,136.535063
-19.0,309,136.63832
-19.0,279,136.650161
-20.0,239,136.753101
-21.0,300,137.135572
-21.0,292,137.732983
-19.0,313,137.870381
-21.0,221,138.217483
-20.0,323,138.533969
-20.0,290,138.578283
-19.0,304,138.669007
-18.0,332,138.759614
-21.0,255,138.84565
-21.0,246,139.385016
-19.0,286,139.777141
-20.0,237,139.802085
-21.0,220,140.006353
-21.0,230,140.119002
-20.0,212,140.177803
-21.0,241,146.027605
-21.0,271,146.067122
-20.0,216,146.409003
-21.0,217,146.810327
-21.0,264,147.33799
-21.0,314,147.468027
-20.0,279,147.552372
-21.0,273,147.570593
-20.0,257,147.772325
-20.0,226,147.914193
-19.0,328,148.209368
-21.0,227,148.325955
-20.0,229,148.865043
-20.0,239,149.480852
-17.0,311,149.623963
-21.0,330,149.662848
-21.0,322,149.696823
-18.0,302,149.781837
-19.0,269,150.020839
-21.0,296,150.310572
-19.0,315,150.972164
-19.0,262,151.378135
-21.0,297,151.472886
-21.0,292,151.715154
-19.0,325,151.857472
-20.0,333,151.88957
-20.0,290,151.934063
-20.0,307,152.337015
-20.0,232,152.514769
-20.0,298,153.347867
-19.0,291,153.39969
-20.0,267,153.622733
-21.0,304,153.733578
-21.0,294,153.875341
-20.0,306,153.92092
-20.0,299,154.313728
-20.0,287,154.418776
-19.0,236,154.922866
-20.0,277,155.237756
-21.0,249,155.283908
-20.0,303,155.744383
-21.0,286,155.775916
-20.0,303,155.928805
-21.0,301,156.310407
-18.0,302,156.419557
-21.0,289,156.838451
-20.0,254,156.968042
-21.0,223,157.226078
-21.0,320,157.368636
-21.0,261,157.510024
-20.0,250,157.966662
-17.0,329,158.107617
-21.0,287,158.322222
-21.0,278,158.684563
-21.0,265,158.728505
-21.0,241,158.967116
-19.0,322,159.359205
-18.0,297,159.476214
-21.0,200,167.718123
-19.0,278,168.148087
-20.0,334,168.482423
-21.0,263,168.829777
-18.0,277,169.024396
-19.0,325,169.813019
-20.0,303,170.174495
-21.0,310,170.396118
-20.0,330,170.798295
-19.0,345,171.325634
-19.0,370,171.845448
-20.0,261,172.131804
-19.0,398,172.429275
-19.0,385,172.495088
-21.0,264,172.515289
-20.0,303,173.457169
-18.0,361,173.565134
-20.0,290,173.879035
-21.0,266,174.472458
-18.0,302,174.514978
-21.0,271,174.870081
-19.0,363,175.602085
